cod_municipio;y_proporcao_esgoto;x1_alfabetizacao;x2_densidade;x3_agua;x4_lixo;x5_metropolitana
3523800;0,888850653819683;0,9437;57,89;0,885065381968341;0,922573984858913;0
3523909;0,905600806113024;0,9665;262,58;0,920379544882022;0,989335796456462;0
3524006;0,789024905023217;0,9742;351,54;0,836639932460954;0,994723512030393;0
3524105;0,972204404532820;0,9546;53,32;0,962440310740503;0,983465184234908;0
3524204;0,950395083406497;0,9516;22,75;0,825724319578578;0,965759438103600;0
3524303;0,977914065637207;0,9666;101,64;0,959186653524623;0,988245172124265;0
3524402;0,932225304433683;0,9731;517,53;0,970743805538577;0,997273026470450;0
3524501;0,904816078877512;0,9589;52,46;0,902919984831248;0,968904057641259;0
3524600;0,659231297185999;0,9455;22,86;0,699039121482498;0,946122168840082;0
3524709;0,942638623326960;0,9750;419,74;0,965210091871473;0,998414400970014;0
3524808;0,944496855345912;0,9639;132,34;0,941981132075472;0,967138364779874;0
3524907;0,489333913800609;0,9423;34,69;0,686983021332172;0,979103178058337;0
3525003;0,871003832512081;0,9695;6765,14;0,990454426432431;0,999690542502797;1
3525102;0,962345346960732;0,9598;90,23;0,945467993544917;0,987493275954814;0
3525201;0,389047435403008;0,9610;180,85;0,685306594677979;0,994060933281913;0
3525300;0,975763071659694;0,9704;194,29;0,974856247810227;0,993899548649039;0
3525409;0,880121396054628;0,9433;27,21;0,883156297420334;0,914264036418816;0
3525508;0,722496247051255;0,9397;34,24;0,734291228822646;0,987990564014583;0
3525607;0,882047958522359;0,9099;10,52;0,900194426441996;0,963058976020739;0
3525706;0,935798394959874;0,9599;42,59;0,924023100577514;0,961449036225906;0
3525805;0,998719590268886;0,9380;33,19;0,976312419974392;0,985275288092189;0
3525854;0,569860279441118;0,9627;53,91;0,790419161676647;0,968063872255489;0
3525904;0,950244763170954;0,9800;1027,87;0,958754801830669;0,998909440690116;0
3526001;0,926304013424696;0,9503;35,10;0,929380506222906;0,948258984757377;0
3526100;0,615481633296547;0,9312;21,10;0,696673498344632;0,880813495191550;0
3526209;0,331834082958521;0,9218;52,48;0,594502748625687;0,938030984507746;1
3526308;0,579124579124579;0,9423;19,90;0,605579605579606;0,966329966329966;0
3526407;0,875417249919242;0,9660;68,34;0,889846021320125;0,984602132012491;0
3526506;0,857920522591181;0,9486;18,02;0,849755035383778;0,948285247686445;0
3526605;0,801421404682274;0,9567;42,92;0,941471571906355;0,975334448160535;0
3526704;0,982801051512948;0,9543;243,65;0,976005369427820;0,989680630907769;0
3526803;0,965340460958724;0,9670;82,15;0,971737796862676;0,995355358864254;0
3526902;0,965301980008426;0,9723;502,61;0,962113668568802;0,994418061353453;0
3527009;0,828637591663450;0,9652;143,86;0,895793130065612;0,992280972597453;0
3527108;0,982449352841868;0,9734;131,18;0,981570061902082;0,992121553179516;0
3527207;0,961398834304746;0,9730;204,88;0,961965029142381;0,988542880932556;0
3527256;0,863989637305699;0,9078;17,11;0,865284974093264;0,981865284974093;0
3527306;0,879119651435594;0,9655;930,19;0,906937772315942;0,997374595017317;0
3527405;0,952900196880206;0,9557;63,72;0,955171891564440;0,979857640466455;0
3527504;0,784269662921348;0,9328;12,51;0,813483146067416;0,962921348314607;0
3527603;0,974094507076037;0,9566;20,50;0,974814104101703;0,989206044615016;0
3527702;0,925390399074610;0,9260;28,22;0,923655292076345;0,957200694042799;0
3527801;0,910326086956522;0,9168;25,66;0,908288043478261;0,974184782608696;0
3527900;0,806949806949807;0,9378;5,60;0,811776061776062;0,896718146718147;0
3528007;0,980544747081712;0,9509;74,96;0,960028298549699;0,993809692253272;0
3528106;0,897273936170213;0,9474;30,15;0,899933510638298;0,936835106382979;0
3528205;0,749504296100463;0,9359;12,10;0,734963648380701;0,881692002643754;0
3528304;0,849642004773270;0,9419;10,14;0,850437549721559;0,938743038981702;0
3528403;0,691512481644640;0,9606;238,05;0,835418502202643;0,983612334801762;0
3528502;0,352592413334140;0,9586;292,65;0,629953415209632;0,978462096920564;1
3528601;0,886961236107346;0,9527;43,10;0,878557874762808;0,949308755760369;0
3528700;0,519884309472162;0,9186;4,97;0,596529284164859;0,541576283441793;0
3528809;0,886081193040597;0,9490;23,75;0,886495443247722;0,943661971830986;0
3528858;0,899030694668821;0,9490;29,59;0,896607431340872;0,941841680129241;0
3528908;0,867583212735166;0,9475;18,83;0,882054992764110;0,979015918958032;0
3529005;0,975497460378511;0,9741;203,01;0,976481634407629;0,993925270647858;0
3529104;0,814504881450488;0,8971;23,90;0,814504881450488;0,930264993026499;0
3529203;0,880045223289994;0,9453;19,85;0,898473713962691;0,940983606557377;0
3529302;0,990874709413275;0,9629;150,57;0,980639117310295;0,997814093889872;0
3529401;0,932446156769472;0,9676;6753,01;0,988651478518402;0,994260216617852;1
